DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,CIRCUNSCRIPCION_CODIGO,CICUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,JUNTA_SEXO,CANDIDATO_CODIGO,SUFRAGANTES,BLANCOS,NULOS,VOTOS,CANDIDATO_NOMBRE,OP_CODIGO
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5075.0,BELLAVISTA,F,14982.0,7328.0,337.0,843.0,1342.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5075.0,BELLAVISTA,M,14982.0,6381.0,216.0,713.0,973.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5080.0,CAÑARIBAMBA,F,14982.0,4163.0,206.0,457.0,844.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5080.0,CAÑARIBAMBA,M,14982.0,3756.0,107.0,414.0,622.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5135.0,EL BATAN,F,14982.0,5676.0,295.0,591.0,962.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5135.0,EL BATAN,M,14982.0,5190.0,239.0,545.0,675.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5140.0,MACHANGARA,F,14982.0,4166.0,277.0,460.0,746.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5140.0,MACHANGARA,M,14982.0,3743.0,181.0,406.0,526.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5290.0,MONAY,F,14982.0,5770.0,274.0,598.0,1204.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5290.0,MONAY,M,14982.0,4963.0,199.0,476.0,848.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5330.0,EL VECINO,F,14982.0,17308.0,1146.0,2014.0,2661.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5330.0,EL VECINO,M,14982.0,15841.0,916.0,1767.0,2115.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5360.0,TOTORACOCHA,F,14982.0,9671.0,490.0,1187.0,1800.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5360.0,TOTORACOCHA,M,14982.0,8319.0,353.0,914.0,1240.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5370.0,YANUNCAY,F,14982.0,10797.0,619.0,1122.0,1898.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5370.0,YANUNCAY,M,14982.0,9084.0,434.0,811.0,1254.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5450.0,HUAYNACAPAC,F,14982.0,7450.0,360.0,801.0,1571.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5450.0,HUAYNACAPAC,M,14982.0,6381.0,244.0,646.0,1099.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5875.0,RAMIREZ DAVALOS,F,14982.0,5283.0,271.0,580.0,953.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5875.0,RAMIREZ DAVALOS,M,14982.0,4149.0,159.0,445.0,621.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5905.0,SAGRARIO,F,14982.0,9097.0,462.0,962.0,1718.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5905.0,SAGRARIO,M,14982.0,8507.0,371.0,900.0,1253.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5930.0,SAN BLAS,F,14982.0,9254.0,467.0,1113.0,1693.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5930.0,SAN BLAS,M,14982.0,7920.0,375.0,945.0,1232.0,MARIA CECILIA ALVARADO CARRION,677.0
